,,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,launch_mass_kg,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,name_of_satellite_alternate_names,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts,power_watts
country_of_operator_owner,,Algeria,Argentina,Belarus,Belgium,Brazil,Canada,Chile,China,China ,China/Brazil,China/France,Colombia,Czech Republic,Denmark,ESA,Egypt,Estonia,Ethiopia,Finland,France,France/Belgium/Sweden,France/Israel,France/Italy,France/Italy/Belgium/Spain/Greece,Germany,India,India/Canada,India/France,Indonesia,Iran,Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Luxembourg,Mexico,Morocco,Multinational,Nepal,Netherlands,Nigeria,Norway,Pakistan,Peru,Russia,Saudi Arabia,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Taiwan,Thailand,Turkey,USA,USA/Argentina,USA/Canada/Japan,USA/France,USA/Germany,USA/Japan,USA/Japan/Brazil,Ukraine,United Arab Emirates,United Kingdom,United Kingdom/Netherlands,Venezuela,Vietnam,Algeria,Argentina,Belarus,Belgium,Brazil,Canada,Chile,China,China ,China/Brazil,China/France,Colombia,Czech Republic,Denmark,ESA,Egypt,Estonia,Ethiopia,Finland,France,France/Belgium/Sweden,France/Israel,France/Italy,France/Italy/Belgium/Spain/Greece,Germany,India,India/Canada,India/France,Indonesia,Iran,Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Luxembourg,Mexico,Morocco,Multinational,Nepal,Netherlands,Nigeria,Norway,Pakistan,Peru,Russia,Saudi Arabia,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Taiwan,Thailand,Turkey,USA,USA/Argentina,USA/Canada/Japan,USA/France,USA/Germany,USA/Japan,USA/Japan/Brazil,Ukraine,United Arab Emirates,United Kingdom,United Kingdom/Netherlands,Venezuela,Vietnam,Algeria,Argentina,Belarus,Belgium,Brazil,Canada,Chile,China,China ,China/Brazil,China/France,Colombia,Czech Republic,Denmark,ESA,Egypt,Estonia,Ethiopia,Finland,France,France/Belgium/Sweden,France/Israel,France/Italy,France/Italy/Belgium/Spain/Greece,Germany,India,India/Canada,India/France,Indonesia,Iran,Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Luxembourg,Mexico,Morocco,Multinational,Nepal,Netherlands,Nigeria,Norway,Pakistan,Peru,Russia,Saudi Arabia,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Taiwan,Thailand,Turkey,USA,USA/Argentina,USA/Canada/Japan,USA/France,USA/Germany,USA/Japan,USA/Japan/Brazil,Ukraine,United Arab Emirates,United Kingdom,United Kingdom/Netherlands,Venezuela,Vietnam
purpose,detailed_purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications,ADS-B Receiver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communications,Amateur Radio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communications,Automatic Identification System (AIS),0.0,0.0,0.0,0.0,0.0,10.5,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communications,Data Relay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communications,Earth Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communications,Internet of Things (IoT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communications,"Meteorology, Automatic Identification System (AIS)",0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communications,Navigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
