,PERIMETER,AREA,Shape_Leng,Shape_Area,PERIMETER_zscore,AREA_zscore,Shape_Leng_zscore,Shape_Area_zscore,PERIMETER_is_outlier,AREA_is_outlier,Shape_Leng_is_outlier,Shape_Area_is_outlier
15,37.22093134,51.75645043,74994.50477060518,199749490.2711741,2.883912317141488,4.2728637380487475,2.71057806929719,3.521681155857523,False,True,False,True
25,40.63022482,18.03094326,80617.74116316356,68147513.85296562,3.2339391594419915,1.192914598560858,2.982911308266117,0.9212391170065548,True,False,False,False
61,42.94972842,43.30089688,92479.64659951293,187738505.1580172,3.472078975088677,3.5006685343133945,3.55738317861095,3.284345277884,True,True,True,True
96,35.20739677,39.68713188,77403.85115859413,178100656.81285986,2.6771858644220234,3.1706449605845415,2.8272626722257526,3.093902347747658,False,True,False,True
107,38.68109414,52.31582472,78195.79931047489,205894578.7410526,3.033824953623772,4.323948051012607,2.8656167072050676,3.643107496285336,True,True,False,True
115,38.12624532,85.3415596,81288.17460302221,368623145.6266883,2.976859490967633,7.339991166743494,3.0153803878928263,6.858607884414988,False,True,True,True
177,27.83782608,34.78530348,101734.73341731858,493808725.2062916,1.9205635399247383,2.7229902496740133,4.00560686939641,9.33226255630396,False,False,True,True
204,41.43605759,26.99192652,90674.9467472819,120803594.20944248,3.31667275265127,2.0112676789602824,3.4699815967078256,1.9617180572692754,True,False,True,False
217,39.25145027,73.91080678,92706.55830629996,392674587.3414252,3.0923825276026,6.296088783476303,3.5683725085546567,7.333861994058601,True,True,True,True
233,29.45875719,44.22871071,59818.71077843654,171922265.78185856,2.0869820079587513,3.585400229908336,1.9756146348447836,2.9718179520056154,False,True,False,False
248,19.99637984,17.9384353,72217.73737744933,245806092.51079,1.1154944889446066,1.1844663990908961,2.576099273591184,4.431755061206286,False,False,False,True
273,44.19571243,35.28132876,87358.39096934452,129913014.07515489,3.6000022093704085,2.768289275915469,3.3093608590802783,2.1417192929123074,True,False,True,False
285,42.37537949,12.50940937,90636.02689573794,54338863.426249616,3.4131114665635467,0.6886658865270717,3.468096708986374,0.648381550222616,True,False,True,False
303,19.79301824,17.07431075,65893.13407543939,190701058.67386296,1.0946156707640202,1.105551065045147,2.2697988476106388,3.3428850423664818,False,False,False,True
309,29.45076375,33.30838897,70422.01925408807,180512631.5030616,2.0861613339455776,2.588112468555928,2.4891326766582598,3.1415627290865613,False,False,False,True
349,38.01773609,53.03493845,80621.15857593619,225831464.33542663,2.9657190176231794,4.38962041296533,2.9830768135062127,4.037058383911969,False,True,False,True
362,43.85006229,23.4489528,76346.84512371228,70497762.26312901,3.5645148487912515,1.6877090500229255,2.776071888663813,0.967679793156506,True,False,False,False
399,36.9530397,32.11642959,81942.11540950125,149331098.65998623,2.8564083004359793,2.4792579375260386,3.0470507295768545,2.5254187238987615,False,False,True,False
434,43.04942674,66.57950519,87359.8494395714,262575893.18568936,3.4823148460505005,5.626564796494354,3.3094314927675534,4.763124664042478,True,True,True,True
437,39.21101987,18.11781989,96551.70927904733,103818543.01818058,3.0882316015154316,1.200848522295832,3.7545931021115257,1.6260951255176062,True,False,True,False
479,35.11808797,43.72598199,66385.45905778,150583941.16232938,2.6680166692685314,3.539489018528921,2.2936421377919958,2.550174767841439,False,True,False,False
486,30.38021256,45.43320157,65906.25059565116,196083596.6880615,2.1815863931118717,3.6953991861605937,2.2704340804523526,3.4492434612047775,False,True,False,True
493,36.82437325,59.65636472,73710.27165926933,228766130.67582232,2.8431983167640795,4.9943157268021485,2.648382682444155,4.0950471005655436,False,True,False,True
521,42.46091876,82.3615815,85486.84147072803,311440563.75751376,3.421893649953282,7.067847565209992,3.218721749985843,5.728685721923327,True,True,True,True
537,41.2768468,54.70204954,87810.88197218091,236892178.6773023,3.300326829247848,4.541867711758917,3.331274990339247,4.255617005424858,True,True,True,True
572,31.23794144,64.2574269,67589.17257116185,282987615.420265,2.269648078964844,5.4145032552087455,2.3519379619411924,5.1664582767191,False,True,False,True
582,37.18808259,24.77684534,82034.55518569604,114012756.167097,2.8805397872306817,1.8089775446756446,3.0515275863019258,1.8275317691528588,False,False,True,False
648,29.86914818,46.7340317,64498.2557855097,207769875.87234324,2.1291162105966177,3.8141962325420735,2.202244916716554,3.680163182136495,False,True,False,True
658,38.0059666,72.85184075,77844.65794247552,286843726.56848806,2.9645106624480224,6.199379740780373,2.848610936967523,5.24265465164629,False,True,False,True
